Chironomidae,Heptageniidae,Baetidae,Ephemerellidae,Leptophlebiidae,Isonychiidae,Tricorythidae,Caenidae,Zygoptera,Brachycentridae,Molannidae,Leptoceridae,Philopotamidae,Polycentropodidae,Hydropsychidae,Hydroptilidae,Corixidae,Simuliidae,Tipuliidae,Unknown.ColeopteraL,DytiscidaeL,Mollusca,Leuctridae,Perlodidae,Perlidae,Taeniopterygidae,Chloroperlidae,Aeshnidae,Mite
272,28,69,2,1,0,0,0,3,0,0,0,1,3,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0
230,22,15,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0
222,29,30,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
114,95,27,5,2,1,0,0,0,0,0,2,13,1,30,0,0,0,0,0,0,0,1,1,0,1,0,1,0
154,9,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19,2,3,1,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,4,9,0,2,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1
104,3,3,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,13,10,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0
92,8,4,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,41,5,2,1,0,0,1,14,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
156,10,17,3,1,0,0,0,5,0,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72,1,0,0,1,0,0,0,16,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,4,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
